trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
130,240.5403599670482,3,2,2320,208,12,64,448,128,0.2,1.041274243847833e-05,1.0051433118210868e-08,512
131,239.90410095314633,2,3,2304,208,12,64,464,128,0.15000000000000002,1.2542859531646141e-05,1.771367191350593e-08,512
132,238.07987259919875,3,3,2240,208,12,64,400,112,0.2,5.038897380391741e-06,2.176561923990245e-08,512
133,238.93519286790283,3,3,2240,192,12,64,400,112,0.2,5.506868471349856e-06,2.517843113658369e-08,1024
134,236.21824312056404,3,3,2288,208,12,64,416,128,0.2,3.5811763873690532e-06,1.9209456013090732e-08,512
135,238.39023238563695,3,3,2240,208,12,64,416,128,0.2,8.464214485244448e-06,1.9700936683269124e-08,512
136,238.96611564433775,3,3,2288,208,12,64,384,112,0.2,3.583276674394217e-06,1.3499798427886363e-08,512
137,237.72868491689113,3,3,2304,176,12,64,400,128,0.15000000000000002,5.47889004516242e-06,2.260390593887977e-08,512
138,238.76771227165077,2,3,2304,192,12,64,432,128,0.15000000000000002,6.821876328522396e-06,1.4057829608272239e-08,512
139,242.09581279008168,3,2,3472,176,12,60,416,128,0.15000000000000002,3.0449826188941245e-06,3.980061434050717e-08,512
140,238.802643125132,3,3,2384,208,12,64,432,128,0.1,4.058515398395675e-06,1.2034032655171673e-07,512
141,238.19981545369168,4,2,2288,224,12,60,400,128,0.1,7.493349249724737e-06,3.098884999010061e-08,512
142,238.1191463238887,3,3,2336,208,12,64,416,128,0.25,1.132684034482805e-05,1.7798721498729495e-08,512
143,240.28627978405657,2,3,2272,160,11,64,48,128,0.2,5.485484893979141e-06,2.681635319454943e-07,512
144,235.5643149618087,3,3,2240,208,12,4,400,112,0.2,4.99140202969729e-06,2.0674675785596344e-08,512
145,238.10967183701857,3,3,2304,144,12,60,384,128,0.2,1.5445921759180785e-05,1.2298225282884104e-08,512
146,237.2363084640773,3,3,2240,192,12,8,448,128,0.15000000000000002,8.94741158420427e-06,2.1885167885996493e-08,512
147,237.9061226188891,3,3,2240,192,12,16,448,128,0.15000000000000002,9.310988341488202e-06,2.1343093049323593e-08,512
148,242.52019484075754,3,3,2368,176,12,4,448,112,0.15000000000000002,9.099477027033804e-06,2.547102129458701e-08,512
